# Соответствие регистрационной зоны MCU
# ячейке а.з. и участку ТВС по высоте
RegZone	Cell	Pitch
1649	3-5	9
1650	4-7	0
1651	4-7	1
1652	4-7	2
1653	4-7	3
1654	4-7	4
1655	4-7	5
1656	4-7	6
1657	4-7	7
1658	4-7	8
1659	4-7	9
1660	5-8	0
1661	5-8	1
1662	5-8	2
1663	5-8	3
1664	5-8	4
1665	5-8	5
1666	5-8	6
1667	5-8	7
1668	5-8	8
1669	5-8	9
1670	6-9	0
1671	6-9	1
1672	6-9	2
1673	6-9	3
1674	6-9	4
1675	6-9	5
1676	6-9	6
1677	6-9	7
1678	6-9	8
1679	6-9	9
1680	7-10	0
1681	7-10	1
1682	7-10	2
1683	7-10	3
1684	7-10	4
1685	7-10	5
1686	7-10	6
1687	7-10	7
1688	7-10	8
1689	7-10	9
1690	8-10	0
1691	8-10	1
1692	8-10	2
1693	8-10	3
1694	8-10	4
1695	8-10	5
1696	8-10	6
1697	8-10	7
1698	8-10	8
1699	8-10	9
1700	9-11	0
1701	9-11	1
1702	9-11	2
1703	9-11	3
1704	9-11	4
1705	9-11	5
1706	9-11	6
1707	9-11	7
1708	9-11	8
1709	9-11	9
1710	10-12	0
1711	10-12	1
1712	10-12	2
1713	10-12	3
1714	10-12	4
1715	10-12	5
1716	10-12	6
1717	10-12	7
1718	10-12	8
1719	10-12	9
1720	11-12	0
1721	11-12	1
1722	11-12	2
1723	11-12	3
1724	11-12	4
1725	11-12	5
1726	11-12	6
1727	11-12	7
1728	11-12	8
1729	11-12	9
1730	12-12	0
1731	12-12	1
1732	12-12	2
1733	12-12	3
1734	12-12	4
1735	12-12	5
1736	12-12	6
1737	12-12	7
1738	12-12	8
1739	12-12	9
1740	13-13	0
1741	13-13	1
1742	13-13	2
1743	13-13	3
1744	13-13	4
1745	13-13	5
1746	13-13	6
1747	13-13	7
1748	13-13	8
1749	13-13	9
1750	14-13	0
1751	14-13	1
1752	14-13	2
1753	14-13	3
1754	14-13	4
1755	14-13	5
1756	14-13	6
1757	14-13	7
1758	14-13	8
1759	14-13	9
1760	15-13	0
1761	15-13	1
1762	15-13	2
1763	15-13	3
1764	15-13	4
1765	15-13	5
1766	15-13	6
1767	15-13	7
1768	15-13	8
1769	15-13	9
1770	16-13	0
1771	16-13	1
1772	16-13	2
1773	16-13	3
1774	16-13	4
1775	16-13	5
1776	16-13	6
1777	16-13	7
1778	16-13	8
1779	16-13	9
1780	1-2	0
1781	1-2	1
1782	1-2	2
1783	1-2	3
1784	1-2	4
1785	1-2	5
1786	1-2	6
1787	1-2	7
1788	1-2	8
1789	1-2	9
1790	2-5	0
1791	2-5	1
1792	2-5	2
1793	2-5	3
1794	2-5	4
1795	2-5	5
1796	2-5	6
1797	2-5	7
1798	2-5	8
1799	2-5	9
1800	3-6	0
1801	3-6	1
1802	3-6	2
1803	3-6	3
1804	3-6	4
1805	3-6	5
1806	3-6	6
1807	3-6	7
1808	3-6	8
1809	3-6	9
1810	4-8	0
1811	4-8	1
1812	4-8	2
1813	4-8	3
1814	4-8	4
1815	4-8	5
1816	4-8	6
1817	4-8	7
1818	4-8	8
1819	4-8	9
1820	5-9	0
1821	5-9	1
1822	5-9	2
1823	5-9	3
1824	5-9	4
1825	5-9	5
1826	5-9	6
1827	5-9	7
1828	5-9	8
1829	5-9	9
1830	6-10	0
1831	6-10	1
1832	6-10	2
1833	6-10	3
1834	6-10	4
1835	6-10	5
1836	6-10	6
1837	6-10	7
1838	6-10	8
1839	6-10	9
1840	7-11	0
1841	7-11	1
1842	7-11	2
1843	7-11	3
1844	7-11	4
1845	7-11	5
1846	7-11	6
1847	7-11	7
1848	7-11	8
1849	7-11	9
1850	8-11	0
1851	8-11	1
1852	8-11	2
1853	8-11	3
1854	8-11	4
1855	8-11	5
1856	8-11	6
1857	8-11	7
1858	8-11	8
1859	8-11	9
1860	9-12	0
1861	9-12	1
1862	9-12	2
1863	9-12	3
1864	9-12	4
1865	9-12	5
1866	9-12	6
1867	9-12	7
1868	9-12	8
1869	9-12	9
1870	10-13	0
1871	10-13	1
1872	10-13	2
1873	10-13	3
1874	10-13	4
1875	10-13	5
1876	10-13	6
1877	10-13	7
1878	10-13	8
1879	10-13	9
1880	11-13	0
1881	11-13	1
1882	11-13	2
1883	11-13	3
1884	11-13	4
1885	11-13	5
1886	11-13	6
1887	11-13	7
1888	11-13	8
1889	11-13	9
1890	12-13	0
1891	12-13	1
1892	12-13	2
1893	12-13	3
1894	12-13	4
1895	12-13	5
1896	12-13	6
1897	12-13	7
1898	12-13	8
1899	12-13	9
1900	13-14	0
1901	13-14	1
1902	13-14	2
1903	13-14	3
1904	13-14	4
1905	13-14	5
1906	13-14	6
1907	13-14	7
1908	13-14	8
1909	13-14	9
1910	14-14	0
1911	14-14	1
1912	14-14	2
1913	14-14	3
1914	14-14	4
1915	14-14	5
1916	14-14	6
1917	14-14	7
1918	14-14	8
1919	14-14	9
1920	15-14	0
1921	15-14	1
1922	15-14	2
1923	15-14	3
1924	15-14	4
1925	15-14	5
1926	15-14	6
1927	15-14	7
1928	15-14	8
1929	15-14	9
1930	1-3	0
1931	1-3	1
1932	1-3	2
1933	1-3	3
1934	1-3	4
1935	1-3	5
1936	1-3	6
1937	1-3	7
1938	1-3	8
1939	1-3	9
1940	2-6	0
1941	2-6	1
1942	2-6	2
1943	2-6	3
1944	2-6	4
1945	2-6	5
1946	2-6	6
1947	2-6	7
1948	2-6	8
1949	2-6	9
1950	3-7	0
1951	3-7	1
1952	3-7	2
1953	3-7	3
1954	3-7	4
1955	3-7	5
1956	3-7	6
1957	3-7	7
1958	3-7	8
1959	3-7	9
1960	4-9	0
1961	4-9	1
1962	4-9	2
1963	4-9	3
1964	4-9	4
1965	4-9	5
1966	4-9	6
1967	4-9	7
1968	4-9	8
1969	4-9	9
1970	5-10	0
1971	5-10	1
1972	5-10	2
1973	5-10	3
1974	5-10	4
1975	5-10	5
1976	5-10	6
1977	5-10	7
1978	5-10	8
1979	5-10	9
1980	6-11	0
1981	6-11	1
1982	6-11	2
1983	6-11	3
1984	6-11	4
1985	6-11	5
1986	6-11	6
1987	6-11	7
1988	6-11	8
1989	6-11	9
1990	7-12	0
1991	7-12	1
1992	7-12	2
1993	7-12	3
1994	7-12	4
1995	7-12	5
1996	7-12	6
1997	7-12	7
1998	7-12	8
1999	7-12	9
2000	8-12	0
2001	8-12	1
2002	8-12	2
2003	8-12	3
2004	8-12	4
2005	8-12	5
2006	8-12	6
2007	8-12	7
2008	8-12	8
2009	8-12	9
2010	9-13	0
2011	9-13	1
2012	9-13	2
2013	9-13	3
2014	9-13	4
2015	9-13	5
2016	9-13	6
2017	9-13	7
2018	9-13	8
2019	9-13	9
2020	10-14	0
2021	10-14	1
2022	10-14	2
2023	10-14	3
2024	10-14	4
2025	10-14	5
2026	10-14	6
2027	10-14	7
2028	10-14	8
2029	10-14	9
2030	11-14	0
2031	11-14	1
2032	11-14	2
2033	11-14	3
2034	11-14	4
2035	11-14	5
2036	11-14	6
2037	11-14	7
2038	11-14	8
2039	11-14	9
2040	12-14	0
2041	12-14	1
2042	12-14	2
2043	12-14	3
2044	12-14	4
2045	12-14	5
2046	12-14	6
2047	12-14	7
2048	12-14	8
2049	12-14	9
2050	13-15	0
2051	13-15	1
2052	13-15	2
2053	13-15	3
2054	13-15	4
2055	13-15	5
2056	13-15	6
2057	13-15	7
2058	13-15	8
2059	13-15	9
2060	14-15	0
2061	14-15	1
2062	14-15	2
2063	14-15	3
2064	14-15	4
2065	14-15	5
2066	14-15	6
2067	14-15	7
2068	14-15	8
2069	14-15	9
2070	1-4	0
2071	1-4	1
2072	1-4	2
2073	1-4	3
2074	1-4	4
2075	1-4	5
2076	1-4	6
2077	1-4	7
2078	1-4	8
2079	1-4	9
2080	2-7	0
2081	2-7	1
2082	2-7	2
2083	2-7	3
2084	2-7	4
2085	2-7	5
2086	2-7	6
2087	2-7	7
2088	2-7	8
2089	2-7	9
2090	3-8	0
2091	3-8	1
2092	3-8	2
2093	3-8	3
2094	3-8	4
2095	3-8	5
2096	3-8	6
2097	3-8	7
2098	3-8	8
2099	3-8	9
2100	4-10	0
2101	4-10	1
2102	4-10	2
2103	4-10	3
2104	4-10	4
2105	4-10	5
2106	4-10	6
2107	4-10	7
2108	4-10	8
2109	4-10	9
2110	5-11	0
2111	5-11	1
2112	5-11	2
2113	5-11	3
2114	5-11	4
2115	5-11	5
2116	5-11	6
2117	5-11	7
2118	5-11	8
2119	5-11	9
2120	6-12	0
2121	6-12	1
2122	6-12	2
2123	6-12	3
2124	6-12	4
2125	6-12	5
2126	6-12	6
2127	6-12	7
2128	6-12	8
2129	6-12	9
2130	7-13	0
2131	7-13	1
2132	7-13	2
2133	7-13	3
2134	7-13	4
2135	7-13	5
2136	7-13	6
2137	7-13	7
2138	7-13	8
2139	7-13	9
2140	8-13	0
2141	8-13	1
2142	8-13	2
2143	8-13	3
2144	8-13	4
2145	8-13	5
2146	8-13	6
2147	8-13	7
2148	8-13	8
2149	8-13	9
2150	9-14	0
2151	9-14	1
2152	9-14	2
2153	9-14	3
2154	9-14	4
2155	9-14	5
2156	9-14	6
2157	9-14	7
2158	9-14	8
2159	9-14	9
2160	10-15	0
2161	10-15	1
2162	10-15	2
2163	10-15	3
2164	10-15	4
2165	10-15	5
2166	10-15	6
2167	10-15	7
2168	10-15	8
2169	10-15	9
2170	11-15	0
2171	11-15	1
2172	11-15	2
2173	11-15	3
2174	11-15	4
2175	11-15	5
2176	11-15	6
2177	11-15	7
2178	11-15	8
2179	11-15	9
2180	12-15	0
2181	12-15	1
2182	12-15	2
2183	12-15	3
2184	12-15	4
2185	12-15	5
2186	12-15	6
2187	12-15	7
2188	12-15	8
2189	12-15	9
2190	13-16	0
2191	13-16	1
2192	13-16	2
2193	13-16	3
2194	13-16	4
2195	13-16	5
2196	13-16	6
2197	13-16	7
2198	13-16	8
2199	13-16	9
2200	2-8	0
2201	2-8	1
2202	2-8	2
2203	2-8	3
2204	2-8	4
2205	2-8	5
2206	2-8	6
2207	2-8	7
2208	2-8	8
2209	2-8	9
2210	3-9	0
2211	3-9	1
2212	3-9	2
2213	3-9	3
2214	3-9	4
2215	3-9	5
2216	3-9	6
2217	3-9	7
2218	3-9	8
2219	3-9	9
2220	4-11	0
2221	4-11	1
2222	4-11	2
2223	4-11	3
2224	4-11	4
2225	4-11	5
2226	4-11	6
2227	4-11	7
2228	4-11	8
2229	4-11	9
2230	5-12	0
2231	5-12	1
2232	5-12	2
2233	5-12	3
2234	5-12	4
2235	5-12	5
2236	5-12	6
2237	5-12	7
2238	5-12	8
2239	5-12	9
2240	6-13	0
2241	6-13	1
2242	6-13	2
2243	6-13	3
2244	6-13	4
2245	6-13	5
2246	6-13	6
2247	6-13	7
2248	6-13	8
2249	6-13	9
2250	7-14	0
2251	7-14	1
2252	7-14	2
2253	7-14	3
2254	7-14	4
2255	7-14	5
2256	7-14	6
2257	7-14	7
2258	7-14	8
2259	7-14	9
2260	8-14	0
2261	8-14	1
2262	8-14	2
2263	8-14	3
2264	8-14	4
2265	8-14	5
2266	8-14	6
2267	8-14	7
2268	8-14	8
2269	8-14	9
2270	9-15	0
2271	9-15	1
2272	9-15	2
2273	9-15	3
2274	9-15	4
2275	9-15	5
2276	9-15	6
2277	9-15	7
2278	9-15	8
2279	9-15	9
2280	10-16	0
2281	10-16	1
2282	10-16	2
2283	10-16	3
2284	10-16	4
2285	10-16	5
2286	10-16	6
2287	10-16	7
2288	10-16	8
2289	10-16	9
2290	11-16	0
2291	11-16	1
2292	11-16	2
2293	11-16	3
2294	11-16	4
2295	11-16	5
2296	11-16	6
2297	11-16	7
2298	11-16	8
2299	11-16	9
2300	2-9	0
2301	2-9	1
2302	2-9	2
2303	2-9	3
2304	2-9	4
2305	2-9	5
2306	2-9	6
2307	2-9	7
2308	2-9	8
2309	2-9	9
2310	3-10	0
2311	3-10	1
2312	3-10	2
2313	3-10	3
2314	3-10	4
2315	3-10	5
2316	3-10	6
2317	3-10	7
2318	3-10	8
2319	3-10	9
2320	4-12	0
2321	4-12	1
2322	4-12	2
2323	4-12	3
2324	4-12	4
2325	4-12	5
2326	4-12	6
2327	4-12	7
2328	4-12	8
2329	4-12	9
2330	5-13	0
2331	5-13	1
2332	5-13	2
2333	5-13	3
2334	5-13	4
2335	5-13	5
2336	5-13	6
2337	5-13	7
2338	5-13	8
2339	5-13	9
2340	6-14	0
2341	6-14	1
2342	6-14	2
2343	6-14	3
2344	6-14	4
2345	6-14	5
2346	6-14	6
2347	6-14	7
2348	6-14	8
2349	6-14	9
2350	7-15	0
2351	7-15	1
2352	7-15	2
2353	7-15	3
2354	7-15	4
2355	7-15	5
2356	7-15	6
2357	7-15	7
2358	7-15	8
2359	7-15	9
2360	8-15	0
2361	8-15	1
2362	8-15	2
2363	8-15	3
2364	8-15	4
2365	8-15	5
2366	8-15	6
2367	8-15	7
2368	8-15	8
2369	8-15	9
2370	9-16	0
2371	9-16	1
2372	9-16	2
2373	9-16	3
2374	9-16	4
2375	9-16	5
2376	9-16	6
2377	9-16	7
2378	9-16	8
2379	9-16	9
2380	10-17	0
2381	10-17	1
2382	10-17	2
2383	10-17	3
2384	10-17	4
2385	10-17	5
2386	10-17	6
2387	10-17	7
2388	10-17	8
2389	10-17	9
2390	4-13	0
2391	4-13	1
2392	4-13	2
2393	4-13	3
2394	4-13	4
2395	4-13	5
2396	4-13	6
2397	4-13	7
2398	4-13	8
2399	4-13	9
2400	5-14	0
2401	5-14	1
2402	5-14	2
2403	5-14	3
2404	5-14	4
2405	5-14	5
2406	5-14	6
2407	5-14	7
2408	5-14	8
2409	5-14	9
2410	6-15	0
2411	6-15	1
2412	6-15	2
2413	6-15	3
2414	6-15	4
2415	6-15	5
2416	6-15	6
2417	6-15	7
2418	6-15	8
2419	6-15	9
2420	7-16	0
2421	7-16	1
2422	7-16	2
2423	7-16	3
2424	7-16	4
2425	7-16	5
2426	7-16	6
2427	7-16	7
2428	7-16	8
2429	7-16	9
