# Каждая запись относится к предыдущему диапазону
# t[N-1] - t[N]
# Algorithm и FAs - из файла MCUFINs.txt
# Формат времени dd.mm.YYYY HH:MM:SS
t	N(W)	Algorithm	FAs
01.08.2022 10:44:44	0.006895833335756291	P2_Up	241
01.08.2022 11:12:44	0.006404739979321166	P+M	241
01.08.2022 11:19:44	0.018308590664397262	M_Up	241
01.08.2022 11:21:17	0.3934227209721239	M_Up	241
01.08.2022 11:21:21	1.012138617120601	M_Up	241
01.08.2022 11:23:32	0.41532080036909985	M_Up	241
01.08.2022 11:27:05	0.04456271875513655	M_Up	241
01.08.2022 11:28:36	0.3965346419152155	M_Up	241
01.08.2022 11:29:04	1.278426383606992	M_Up	241
01.08.2022 11:30:39	0.5200168208371594	M_Up	241
01.08.2022 11:30:53	1.1429248784589392	M_Up	241
01.08.2022 11:32:51	0.4573398226183709	M_Up	241
01.08.2022 11:33:05	1.1148507880828813	M_Up	241
01.08.2022 11:34:35	0.4988636846624852	M_Up	241
01.08.2022 11:34:53	1.1650795971175774	M_Up	241
01.08.2022 11:36:18	0.5310277022879857	M_Up	241
01.08.2022 11:36:40	1.254746806692362	M_Up	241
01.08.2022 11:37:18	0.3016046080449725	M_Up	241
01.08.2022 11:42:00	0.04375672135081936	M_Up	241
01.08.2022 11:47:45	0.43825252344260335	M_Up	241
01.08.2022 11:48:55	2.081610160668678	M_Up	241
01.08.2022 11:49:34	0.34722990601135645	M_Up	241
01.08.2022 11:53:00	0.016561239096585932	M_Up	241
01.08.2022 13:16:00	0.005777929123755665	P+M	241
01.08.2022 13:30:31	0.011760507078746436	M1_Up	241
01.08.2022 13:34:06	0.38285018308378516	M1_Up	241
01.08.2022 13:38:46	0.034659592217817586	M1_Up	241
01.08.2022 13:41:18	0.27365038860645413	M1_Up	241
01.08.2022 13:42:03	0.09138829936706955	M1_Up	241
01.08.2022 13:49:48	0.3646353213348361	M1_Up	241
01.08.2022 13:50:11	1.2090550686471668	M1_Up	241
01.08.2022 13:50:53	0.2954988554382079	M1_Up	241
01.08.2022 13:56:56	0.029205683864957747	M1_Up	241
01.08.2022 13:58:47	0.3960414794745814	M1_Up	241
01.08.2022 13:59:49	1.7184215314697167	M1_Up	241
01.08.2022 14:00:26	0.3475462948164196	M1_Up	241
01.08.2022 14:02:50	0.01738195539452777	M1_Up	241
01.08.2022 15:23:50	0.005590581979717386	P+M	241
01.08.2022 15:24:50	0.0034522934047589698	P+M+C	241
01.08.2022 15:52:48	0.009063758802669238	P+M	241
01.08.2022 15:53:09	0.10847464782076432	P+M	241
01.08.2022 16:08:16	0.01624322858183323	P+M	241
01.08.2022 16:10:35	0.3928865643665285	P+M	241
01.08.2022 16:10:52	1.0984074411583267	P+M	241
01.08.2022 16:12:32	0.4006102599976317	P+M	241
01.08.2022 16:29:21	0.015927122428006237	P+M	241
01.08.2022 16:31:38	0.393517408046302	P+M	241
01.08.2022 16:35:17	3.409387131644333	P+M	241
01.08.2022 16:37:20	0.3225550986895626	P+M	241
01.08.2022 18:32:06	0.0075784821170043985	P+M	241
01.08.2022 18:32:29	0.1095566397934846	P+M	241
01.08.2022 19:09:21	0.010436732284325102	P+M	241
01.08.2022 19:11:39	0.39450497719367494	P+M	241
01.08.2022 19:11:54	1.085424759402477	P+M	241
01.08.2022 19:13:29	0.391090901841515	P+M	241
01.08.2022 19:36:46	0.013382372636578635	P+M	241
01.08.2022 19:39:03	0.39251513625552015	P+M	241
