0.0	6433.868304617536	8227.614799927605	7804.891325065701	6214.860288080147	5051.115499770803	4344.023037430575	3989.0005983242904	3950.0103350682866	3817.731597157808	2948.730809937083
1.8	1306.4021927186004	1670.1226667770698	1581.4067636173195	1254.6939114229008	1018.1766277695134	875.2736500378262	804.070167335636	797.9502506896831	773.2608153275792	597.9269825486072
3.2	924.6548191371242	1181.7920511304521	1118.1109016172613	885.6695153555713	718.2639208189016	617.3520209247431	567.2245910088013	563.4484502048974	546.6560202334334	422.97038701052895
5.6	692.4351354444441	884.7145515260605	836.3378004444362	661.3401039644085	535.9967930226552	460.61647375202347	423.28582175213916	420.8890384056339	408.8469311846337	316.56720346012787
10.0	544.3697634968421	695.3265453418037	656.8293196381197	518.6198258375716	420.09999022816476	360.9685912755976	331.76060340462953	330.16832505891307	321.06301701120185	248.75633961514026
17.9	424.5874789335248	542.1424543972917	511.8894331767779	403.77294657605745	326.9771942534349	280.9341557900266	258.2205213643727	257.124094122574	250.20711558346875	193.96923316974872
31.8	317.93125846807453	405.76614838497363	383.03625417575506	301.95255077256127	244.51539434502783	210.08421719190514	193.0982406940249	192.33239203688174	187.22870518883258	145.23431474200834
56.7	229.83886136246772	293.14222432008347	276.7037326662378	218.04806898090965	176.60277568950153	151.7428935544387	139.46461490195188	138.92504085651535	135.2610824461222	105.000797460365
101.0	166.25917756439955	211.86947254648112	199.97545769022693	157.51331259549266	127.60516071287117	109.6504764033289	100.7690011736071	100.39007600821432	97.76126040387167	75.96282470678315
179.7	119.99369543293639	152.73252215004152	144.1031968923945	113.37194361770116	91.85271045382453	78.93154086940048	72.53450063377568	72.29735620389582	70.45201485879511	54.821623802401824
320.0	84.64804023723244	107.54414265312997	101.35875962981363	79.52414215102252	64.41128079969788	55.34790012149684	50.86401778213362	50.765782463041305	49.55647690801177	38.657581496253265
